model_name,arch,encoder,threshold,mean_iou_all,mean_iou_crack_only,mean_dice_crack_only,no_crack_fp_count,no_crack_fp_rate,n_total,n_crack,n_no_crack
model1_unet,Unet,timm-efficientnet-b3,0.1,0.578683378,0.524623105,0.671252168,12,0.055045872,1695,1477,218
model1_unet,Unet,timm-efficientnet-b3,0.2,0.591785533,0.537627947,0.682624718,9,0.041284404,1695,1477,218
model1_unet,Unet,timm-efficientnet-b3,0.3,0.597820068,0.54387611,0.688041703,8,0.036697248,1695,1477,218
model1_unet,Unet,timm-efficientnet-b3,0.4,0.601637633,0.548257135,0.691823301,8,0.036697248,1695,1477,218
model1_unet,Unet,timm-efficientnet-b3,0.5,0.604930844,0.552036412,0.695100661,8,0.036697248,1695,1477,218
model1_unet,Unet,timm-efficientnet-b3,0.6,0.609314567,0.55571306,0.698285574,6,0.027522936,1695,1477,218
model1_unet,Unet,timm-efficientnet-b3,0.7,0.613295022,0.559603969,0.701689922,5,0.02293578,1695,1477,218
model1_unet,Unet,timm-efficientnet-b3,0.8,0.617818898,0.564118506,0.70573517,4,0.018348624,1695,1477,218
model1_unet,Unet,timm-efficientnet-b3,0.9,0.621760259,0.568641597,0.710454458,4,0.018348624,1695,1477,218
model2_deeplabv3plus,DeepLabV3Plus,efficientnet-b3,0.1,0.614315392,0.559420846,0.703202765,3,0.013761468,1695,1477,218
model2_deeplabv3plus,DeepLabV3Plus,efficientnet-b3,0.2,0.622118067,0.568375169,0.710637101,3,0.013761468,1695,1477,218
model2_deeplabv3plus,DeepLabV3Plus,efficientnet-b3,0.3,0.625172581,0.571880517,0.713431991,3,0.013761468,1695,1477,218
model2_deeplabv3plus,DeepLabV3Plus,efficientnet-b3,0.4,0.626176441,0.573032544,0.714259074,3,0.013761468,1695,1477,218
model2_deeplabv3plus,DeepLabV3Plus,efficientnet-b3,0.5,0.627160617,0.572807885,0.713919383,1,0.004587156,1695,1477,218
model2_deeplabv3plus,DeepLabV3Plus,efficientnet-b3,0.6,0.625639088,0.571061784,0.712225695,1,0.004587156,1695,1477,218
model2_deeplabv3plus,DeepLabV3Plus,efficientnet-b3,0.7,0.622301235,0.567231275,0.708785934,1,0.004587156,1695,1477,218
model2_deeplabv3plus,DeepLabV3Plus,efficientnet-b3,0.8,0.615549619,0.559483144,0.70194065,1,0.004587156,1695,1477,218
model2_deeplabv3plus,DeepLabV3Plus,efficientnet-b3,0.9,0.598181375,0.539551409,0.684315742,1,0.004587156,1695,1477,218
model3_unetplusplus,UnetPlusPlus,efficientnet-b3,0.1,0.611691695,0.569273814,0.712355456,22,0.100917431,1695,1477,218
model3_unetplusplus,UnetPlusPlus,efficientnet-b3,0.2,0.622400411,0.576823762,0.718558524,15,0.068807339,1695,1477,218
model3_unetplusplus,UnetPlusPlus,efficientnet-b3,0.3,0.626605777,0.579618681,0.720785375,12,0.055045872,1695,1477,218
model3_unetplusplus,UnetPlusPlus,efficientnet-b3,0.4,0.630498838,0.580701104,0.721606889,7,0.032110092,1695,1477,218
model3_unetplusplus,UnetPlusPlus,efficientnet-b3,0.5,0.631078729,0.580689536,0.721545031,6,0.027522936,1695,1477,218
model3_unetplusplus,UnetPlusPlus,efficientnet-b3,0.6,0.630260939,0.579751044,0.720708943,6,0.027522936,1695,1477,218
model3_unetplusplus,UnetPlusPlus,efficientnet-b3,0.7,0.628189974,0.577374411,0.718655777,6,0.027522936,1695,1477,218
model3_unetplusplus,UnetPlusPlus,efficientnet-b3,0.8,0.623696091,0.572217247,0.714282645,6,0.027522936,1695,1477,218
model3_unetplusplus,UnetPlusPlus,efficientnet-b3,0.9,0.610982483,0.557627156,0.701831165,6,0.027522936,1695,1477,218
